drwxrwxrwx dir_000
drwxrwxrw- dir_001
drwxrwxr-x dir_002
drwxrwxr-- dir_003
drwxrwx-wx dir_004
drwxrwx-w- dir_005
drwxrwx--x dir_006
drwxrwx--- dir_007
drwxrw-rwx dir_010
drwxrw-rw- dir_011
drwxrw-r-x dir_012
drwxrw-r-- dir_013
drwxrw--wx dir_014
drwxrw--w- dir_015
drwxrw---x dir_016
drwxrw---- dir_017
drwxr-xrwx dir_020
drwxr-xrw- dir_021
drwxr-xr-x dir_022
drwxr-xr-- dir_023
drwxr-x-wx dir_024
drwxr-x-w- dir_025
drwxr-x--x dir_026
drwxr-x--- dir_027
drwxr--rwx dir_030
drwxr--rw- dir_031
drwxr--r-x dir_032
drwxr--r-- dir_033
drwxr---wx dir_034
drwxr---w- dir_035
drwxr----x dir_036
drwxr----- dir_037
drwx-wxrwx dir_040
drwx-wxrw- dir_041
drwx-wxr-x dir_042
drwx-wxr-- dir_043
drwx-wx-wx dir_044
drwx-wx-w- dir_045
drwx-wx--x dir_046
drwx-wx--- dir_047
drwx-w-rwx dir_050
drwx-w-rw- dir_051
drwx-w-r-x dir_052
drwx-w-r-- dir_053
drwx-w--wx dir_054
drwx-w--w- dir_055
drwx-w---x dir_056
drwx-w---- dir_057
drwx--xrwx dir_060
drwx--xrw- dir_061
drwx--xr-x dir_062
drwx--xr-- dir_063
drwx--x-wx dir_064
drwx--x-w- dir_065
drwx--x--x dir_066
drwx--x--- dir_067
drwx---rwx dir_070
drwx---rw- dir_071
drwx---r-x dir_072
drwx---r-- dir_073
drwx----wx dir_074
drwx----w- dir_075
drwx-----x dir_076
drwx------ dir_077
drw-rwxrwx dir_100
drw-rwxrw- dir_101
drw-rwxr-x dir_102
drw-rwxr-- dir_103
drw-rwx-wx dir_104
drw-rwx-w- dir_105
drw-rwx--x dir_106
drw-rwx--- dir_107
drw-rw-rwx dir_110
drw-rw-rw- dir_111
drw-rw-r-x dir_112
drw-rw-r-- dir_113
drw-rw--wx dir_114
drw-rw--w- dir_115
drw-rw---x dir_116
drw-rw---- dir_117
drw-r-xrwx dir_120
drw-r-xrw- dir_121
drw-r-xr-x dir_122
drw-r-xr-- dir_123
drw-r-x-wx dir_124
drw-r-x-w- dir_125
drw-r-x--x dir_126
drw-r-x--- dir_127
drw-r--rwx dir_130
drw-r--rw- dir_131
drw-r--r-x dir_132
drw-r--r-- dir_133
drw-r---wx dir_134
drw-r---w- dir_135
drw-r----x dir_136
drw-r----- dir_137
drw--wxrwx dir_140
drw--wxrw- dir_141
drw--wxr-x dir_142
drw--wxr-- dir_143
drw--wx-wx dir_144
drw--wx-w- dir_145
drw--wx--x dir_146
drw--wx--- dir_147
drw--w-rwx dir_150
drw--w-rw- dir_151
drw--w-r-x dir_152
drw--w-r-- dir_153
drw--w--wx dir_154
drw--w--w- dir_155
drw--w---x dir_156
drw--w---- dir_157
drw---xrwx dir_160
drw---xrw- dir_161
drw---xr-x dir_162
drw---xr-- dir_163
drw---x-wx dir_164
drw---x-w- dir_165
drw---x--x dir_166
drw---x--- dir_167
drw----rwx dir_170
drw----rw- dir_171
drw----r-x dir_172
drw----r-- dir_173
drw-----wx dir_174
drw-----w- dir_175
drw------x dir_176
drw------- dir_177
dr-xrwxrwx dir_200
dr-xrwxrw- dir_201
